delta,iters_mediana,iters_peor
0.0,100.0,100.0
0.14285714285714285,100.0,4000.0
0.2857142857142857,100.0,100.0
0.42857142857142855,100.0,250.0
0.5714285714285714,100.0,250.0
0.7142857142857142,100.0,250.0
0.8571428571428571,500.0,inf
1.0,100.0,250.0
1.1428571428571428,250.0,inf
1.2857142857142856,100.0,250.0
1.4285714285714284,100.0,250.0
1.5714285714285714,100.0,250.0
1.7142857142857142,8000.0,inf
1.857142857142857,100.0,4000.0
2.0,100.0,100.0
