n,stable_pct,decay_pct,t_train_s,loss_final,worst_mean,cvxpy_pct,es_base
2,81.66666666666667,75.83333333333333,31.434318542014807,0.0007633570264278348,-0.07011121766233415,90.0,False
3,87.5,80.00000000000001,37.550323208008194,0.0011339424164074692,-0.05226108358788881,90.0,False
4,79.16666666666667,65.83333333333334,46.633281207992695,0.0009690465273558015,-0.0411612891632068,95.0,False
5,75.83333333333334,60.0,56.67180399998324,0.002046928046255657,-0.02804191395359095,92.5,False
