loss,shift,absc_ol,lmi_factible,iters_min,peor_eig_max,estabilizado_en_max
control,-1.0,-0.2847747615649098,True,100.0,-0.1605145825776041,True
control,-0.75,-0.03477476156490972,True,250.0,-0.08194321138088287,True
control,-0.5,0.2152252384350905,True,250.0,-0.007859779760196438,True
control,-0.25,0.46522523843509034,True,250.0,-0.012369686286885265,True
control,0.0,0.7152252384350907,True,250.0,-0.0022238343044648505,True
control,0.25,0.9652252384350908,True,8000.0,-0.009999999999978668,True
control,0.5,1.2152252384350908,True,8000.0,-0.01000000022553741,True
control,0.75,1.4652252384350908,True,,0.26985103240159797,False
control,1.0,1.7152252384350906,True,,0.3096953823080972,False
control,1.25,1.9652252384350926,True,,0.37024915367254707,False
control,1.5,2.2152252384350946,True,,0.43133888988204583,False
control,1.75,2.46522523843509,True,,0.49058979074424314,False
control,2.0,2.7152252384350906,True,,0.5462254904339738,False
control_margen,-1.0,-0.2847747615649098,True,250.0,-0.16164546987630582,True
control_margen,-0.75,-0.03477476156490972,True,100.0,-0.08068181867394238,True
control_margen,-0.5,0.2152252384350905,True,250.0,-0.009157565174197961,True
control_margen,-0.25,0.46522523843509034,True,100.0,-0.010053456359612155,True
control_margen,0.0,0.7152252384350907,True,250.0,-0.0012660904509209344,True
control_margen,0.25,0.9652252384350908,True,8000.0,-0.010000000000001563,True
control_margen,0.5,1.2152252384350908,True,8000.0,-0.009999990534617278,True
control_margen,0.75,1.4652252384350908,True,,0.26919031593541193,False
control_margen,1.0,1.7152252384350906,True,,0.3098875686072981,False
control_margen,1.25,1.9652252384350926,True,,0.37516107750369765,False
control_margen,1.5,2.2152252384350946,True,,0.4391854827719309,False
control_margen,1.75,2.46522523843509,True,,0.5019363546803468,False
control_margen,2.0,2.7152252384350906,True,,0.6195342914722202,False
paper,-1.0,-0.2847747615649098,True,100.0,-0.19864294953306336,True
paper,-0.75,-0.03477476156490972,True,100.0,-0.11103027588532567,True
paper,-0.5,0.2152252384350905,True,100.0,-0.0189986302725119,True
paper,-0.25,0.46522523843509034,True,8000.0,-0.03170396633980534,True
paper,0.0,0.7152252384350907,True,8000.0,-0.01050087591526277,True
paper,0.25,0.9652252384350908,True,8000.0,-0.009999992311038979,True
paper,0.5,1.2152252384350908,True,100.0,-0.00999999999994171,True
paper,0.75,1.4652252384350908,True,100.0,-0.01000000000415158,True
paper,1.0,1.7152252384350906,True,,0.32130725549598255,False
paper,1.25,1.9652252384350926,True,,0.3817851758130351,False
paper,1.5,2.2152252384350946,True,100.0,0.45437446922771013,False
paper,1.75,2.46522523843509,True,100.0,0.5256849832624715,False
paper,2.0,2.7152252384350906,True,100.0,0.5984165522750907,False
