m,N,stable_pct,decay_pct,worst_mean,infer_ms_per_sys,n,cvxpy_pct,cvxpy_ms_per_sys,loss
1,2,86.66666666666667,83.33333333333334,-0.05993133525284935,4.8015458334703,30,93.33333333333333,13.838693285444085,control
1,3,90.0,80.0,-0.040300881759643116,6.117536099433589,30,93.33333333333333,137.36002392501436,control
1,4,86.66666666666667,80.0,-0.053736718057539164,8.31788053328637,30,86.66666666666667,21.933073760010302,control
1,5,96.66666666666667,86.66666666666667,-0.04461295367193118,9.728313900996,30,86.66666666666667,483.7556153114957,control
1,2,76.66666666666667,70.0,-0.054965213369073486,4.911202766622106,30,93.33333333333333,7.370538718532771,control_margen
1,3,90.0,86.66666666666667,-0.056884411503395495,6.177993067346203,30,93.33333333333333,135.67222042807512,control_margen
1,4,90.0,70.0,-0.06031574058955254,8.437777766569827,30,86.66666666666667,21.47507361279657,control_margen
1,5,93.33333333333333,73.33333333333333,-0.043201532875816046,9.660288867113803,30,86.66666666666667,480.5640320768222,control_margen
1,2,83.33333333333334,83.33333333333334,-0.07574849221496037,4.853869434252071,30,93.33333333333333,7.09375886071939,paper
1,3,80.0,80.0,-0.049138835556489804,6.1530666998199495,30,93.33333333333333,135.3639404322686,paper
1,4,76.66666666666667,66.66666666666666,-0.027993090883455262,8.427011100381302,30,86.66666666666667,21.61729499661865,paper
1,5,96.66666666666667,86.66666666666667,-0.0475203057512191,9.625344433394881,30,86.66666666666667,479.346980687786,paper
