arch,loss,backprop,stable_pct,decay_pct,cvxpy_pct,t_train_s,infer_ms_per_sys,cvxpy_ms_per_sys,n_params
vanilla (paper),paper,implicit,90.0,90.0,93.33333333333333,31.217672208003933,4.817747199558653,7.107169429738341,6345
vertices,control,unrolling,76.66666666666667,73.33333333333333,93.33333333333333,6.276486082992051,4.891662500449456,7.278187497701895,36617
actuadores,control,unrolling,80.0,73.33333333333333,93.33333333333333,6.602298374986276,4.915030533447862,7.266455209381612,69769
