loss,stable_pct,t_train_s,mem_train_mb,infer_ms_per_sys,loss_final,loss_usada,cvxpy_pct,pct_red_mejor_loss
control,90.00000000000001,37.15526899998076,108.724224,7.241319091796565,0.0009715296489842854,control,90.0,3.7037037037037033
control_margen,87.5,38.05919308299781,0.278528,7.296815616912984,0.050656940849453796,control_margen,90.0,3.7037037037037033
paper,84.16666666666667,36.79839566699229,0.884736,7.26482291696205,-35.34499908140887,paper,90.0,40.74074074074074
