loss,epochs,delta,stable_pct_indist,iters_min,peor_eig_max,estabilizado_en_max
control,100,0.0,90.0,100.0,-0.010019357957410598,True
control,100,0.14285714285714285,90.0,100.0,-0.010000000000001992,True
control,100,0.2857142857142857,90.0,100.0,-0.010000000000000469,True
control,100,0.42857142857142855,90.0,100.0,-0.009999999999998262,True
control,100,0.5714285714285714,90.0,2000.0,-0.009999999999994015,True
control,100,0.7142857142857142,90.0,2000.0,-0.010000000000006178,True
control,100,0.8571428571428571,90.0,4000.0,-0.009999999999931227,True
control,100,1.0,90.0,4000.0,-0.010000000003258173,True
control,100,1.1428571428571428,90.0,4000.0,-0.009999999988435777,True
control,100,1.2857142857142856,90.0,8000.0,-0.010000000546012647,True
control,100,1.4285714285714284,90.0,8000.0,-0.010000013133562165,True
control,100,1.5714285714285714,90.0,8000.0,-0.010001351988908891,True
control,100,1.7142857142857142,90.0,8000.0,-0.009239336960856541,True
control,100,1.857142857142857,90.0,,0.013880014397928919,False
control,100,2.0,90.0,,0.7886841548193478,False
control,400,0.0,78.33333333333334,100.0,-0.010017494293992187,True
control,400,0.14285714285714285,78.33333333333334,500.0,-0.010000000000001062,True
control,400,0.2857142857142857,78.33333333333334,500.0,-0.009999999999999743,True
control,400,0.42857142857142855,78.33333333333334,500.0,-0.009999999999998073,True
control,400,0.5714285714285714,78.33333333333334,500.0,-0.009999999999999346,True
control,400,0.7142857142857142,78.33333333333334,500.0,-0.009999999999997858,True
control,400,0.8571428571428571,78.33333333333334,1000.0,-0.009999999999999126,True
control,400,1.0,78.33333333333334,1000.0,-0.010000000000006316,True
control,400,1.1428571428571428,78.33333333333334,2000.0,-0.010000000000000975,True
control,400,1.2857142857142856,78.33333333333334,2000.0,-0.010000000000000753,True
control,400,1.4285714285714284,78.33333333333334,2000.0,-0.00999999999999368,True
control,400,1.5714285714285714,78.33333333333334,4000.0,-0.009999999999986223,True
control,400,1.7142857142857142,78.33333333333334,4000.0,-0.00999999999941158,True
control,400,1.857142857142857,78.33333333333334,4000.0,-0.009999999998790561,True
control,400,2.0,78.33333333333334,8000.0,-0.009987079714215533,True
control_margen,100,0.0,88.33333333333334,100.0,-0.45872324878686754,True
control_margen,100,0.14285714285714285,88.33333333333334,100.0,-0.46434734640813247,True
control_margen,100,0.2857142857142857,88.33333333333334,250.0,-0.4794858307708765,True
control_margen,100,0.42857142857142855,88.33333333333334,250.0,-0.4778430916585563,True
control_margen,100,0.5714285714285714,88.33333333333334,100.0,-0.571068814066924,True
control_margen,100,0.7142857142857142,88.33333333333334,250.0,-0.009999999999999423,True
control_margen,100,0.8571428571428571,88.33333333333334,500.0,-0.010000000000003277,True
control_margen,100,1.0,88.33333333333334,1000.0,-0.00999999999999556,True
control_margen,100,1.1428571428571428,88.33333333333334,2000.0,-0.010000000000000063,True
control_margen,100,1.2857142857142856,88.33333333333334,2000.0,-0.009999999999999246,True
control_margen,100,1.4285714285714284,88.33333333333334,2000.0,-0.010000000000081326,True
control_margen,100,1.5714285714285714,88.33333333333334,4000.0,-0.009999999999931258,True
control_margen,100,1.7142857142857142,88.33333333333334,4000.0,-0.010000000000001803,True
control_margen,100,1.857142857142857,88.33333333333334,4000.0,-0.009999999999623598,True
control_margen,100,2.0,88.33333333333334,4000.0,-0.009999596641258577,True
control_margen,400,0.0,86.66666666666667,250.0,-0.010018146848339024,True
control_margen,400,0.14285714285714285,86.66666666666667,500.0,-0.009999999999998104,True
control_margen,400,0.2857142857142857,86.66666666666667,500.0,-0.009999999999999083,True
control_margen,400,0.42857142857142855,86.66666666666667,500.0,-0.010000000000001041,True
control_margen,400,0.5714285714285714,86.66666666666667,500.0,-0.009999999999999492,True
control_margen,400,0.7142857142857142,86.66666666666667,500.0,-0.009999999999997443,True
control_margen,400,0.8571428571428571,86.66666666666667,500.0,-0.009999999999998937,True
control_margen,400,1.0,86.66666666666667,1000.0,-0.00999999999999996,True
control_margen,400,1.1428571428571428,86.66666666666667,1000.0,-0.010000000000002698,True
control_margen,400,1.2857142857142856,86.66666666666667,1000.0,-0.010000000000003572,True
control_margen,400,1.4285714285714284,86.66666666666667,2000.0,-0.009999999999995967,True
control_margen,400,1.5714285714285714,86.66666666666667,2000.0,-0.009999999999993608,True
control_margen,400,1.7142857142857142,86.66666666666667,4000.0,-0.00999999999999818,True
control_margen,400,1.857142857142857,86.66666666666667,4000.0,-0.00999999999792553,True
control_margen,400,2.0,86.66666666666667,4000.0,-0.009999994373715286,True
