alpha,stable_pct,decay_pct,t_train_s,loss_final,worst_mean,cvxpy_pct,es_base
0.001,79.16666666666667,79.16666666666667,36.84212437499082,0.0009687037851616068,-0.04751232559230547,95.0,False
0.01,87.5,80.00000000000001,37.135642291978,0.0011339424164074692,-0.05226108358788881,90.0,False
0.05,89.16666666666667,49.99999999999999,37.32212883300963,0.0006553521914324584,-0.056697092548657006,57.5,False
0.1,72.5,26.666666666666664,37.351537500013364,0.0006365106655707463,-0.05705408226031847,37.5,False
