batch,stable_pct,decay_pct,t_train_s,loss_final,worst_mean,es_base
8,81.66666666666667,74.16666666666667,61.713738374994136,0.0006307009432880119,-0.043907868367624045,False
16,85.83333333333334,75.83333333333334,36.13046383301844,0.0010549920966197643,-0.0394590221384883,True
32,85.83333333333334,78.33333333333333,23.28480562500772,0.0015574185070047547,-0.04757125461838102,False
64,80.83333333333334,72.5,15.961984791007126,0.0018175897412749653,-0.04663546150200984,False
