serie,delta,iter,peor_eig
control δ=0.43,0.43,2980,-0.009834274413308282
control δ=0.43,0.43,3000,-0.010171993700601881
control δ=0.43,0.43,3020,-0.010190836771622283
control δ=0.43,0.43,3040,-0.00994757940493839
control δ=0.43,0.43,3060,-0.00983736654732901
control δ=0.43,0.43,3080,-0.009974738841809754
control δ=0.43,0.43,3100,-0.010110694006210398
control δ=0.43,0.43,3120,-0.010062476250254644
control δ=0.43,0.43,3140,-0.009942417106599174
control δ=0.43,0.43,3160,-0.009930835401200648
control δ=0.43,0.43,3180,-0.01001545115252827
control δ=0.43,0.43,3200,-0.010057445208539965
control δ=0.43,0.43,3220,-0.010011212959772219
control δ=0.43,0.43,3240,-0.009961748406755205
control δ=0.43,0.43,3260,-0.009976566445152952
control δ=0.43,0.43,3280,-0.010019151199767692
control δ=0.43,0.43,3300,-0.010024963681470692
control δ=0.43,0.43,3320,-0.009995634141242665
control δ=0.43,0.43,3340,-0.009979731984257882
control δ=0.43,0.43,3360,-0.009995239265072453
control δ=0.43,0.43,3380,-0.01001317142400629
control δ=0.43,0.43,3400,-0.01000873708550935
control δ=0.43,0.43,3420,-0.009993667205267662
control δ=0.43,0.43,3440,-0.009991009655771349
control δ=0.43,0.43,3460,-0.01000115315928286
control δ=0.43,0.43,3480,-0.010007132152867639
control δ=0.43,0.43,3500,-0.010001960057198101
control δ=0.43,0.43,3520,-0.009995476705613258
control δ=0.43,0.43,3540,-0.009996758001720334
control δ=0.43,0.43,3560,-0.01000207917078586
control δ=0.43,0.43,3580,-0.010003228848780321
control δ=0.43,0.43,3600,-0.009999730848127946
control δ=0.43,0.43,3620,-0.009997495572226735
control δ=0.43,0.43,3640,-0.009999210919101598
control δ=0.43,0.43,3660,-0.010001548424957957
control δ=0.43,0.43,3680,-0.010001197519186805
control δ=0.43,0.43,3700,-0.009999322863397723
control δ=0.43,0.43,3720,-0.009998843187394059
control δ=0.43,0.43,3740,-0.01000004609393006
control δ=0.43,0.43,3760,-0.01000087736831494
control δ=0.43,0.43,3780,-0.010000312235777166
control δ=0.43,0.43,3800,-0.00999947167015297
control δ=0.43,0.43,3820,-0.009999559464393412
control δ=0.43,0.43,3840,-0.010000218427748099
control δ=0.43,0.43,3860,-0.010000413443961907
control δ=0.43,0.43,3880,-0.010000001039718029
control δ=0.43,0.43,3900,-0.009999693342091866
control δ=0.43,0.43,3920,-0.009999878129884574
control δ=0.43,0.43,3940,-0.010000179630547338
control δ=0.43,0.43,3960,-0.01000016144906473
control δ=0.43,0.43,3980,-0.009999930342699768
control δ=0.43,0.43,4000,-0.009999852583127744
control δ=0.43,0.43,4020,-0.009999993520643482
control δ=0.43,0.43,4040,-0.010000106928738373
control δ=0.43,0.43,4060,-0.010000047038019173
control δ=0.43,0.43,4080,-0.009999939158378261
control δ=0.43,0.43,4100,-0.00999994103841393
control δ=0.43,0.43,4120,-0.010000021903788056
control δ=0.43,0.43,4140,-0.010000052440875262
control δ=0.43,0.43,4160,-0.010000004440603266
control δ=0.43,0.43,4180,-0.00999996280536767
control δ=0.43,0.43,4200,-0.009999982013925521
control δ=0.43,0.43,4220,-0.010000020522072911
control δ=0.43,0.43,4240,-0.010000021462470688
control δ=0.43,0.43,4260,-0.009999993233566241
control δ=0.43,0.43,4280,-0.009999981387641256
control δ=0.43,0.43,4300,-0.009999997675535329
control δ=0.43,0.43,4320,-0.010000012905610221
control δ=0.43,0.43,4340,-0.010000006822765119
control δ=0.43,0.43,4360,-0.00999999310919029
control δ=0.43,0.43,4380,-0.009999992211535233
control δ=0.43,0.43,4400,-0.010000002042189836
control δ=0.43,0.43,4420,-0.010000006591005486
control δ=0.43,0.43,4440,-0.010000001086002304
control δ=0.43,0.43,4460,-0.009999995533666317
control δ=0.43,0.43,4480,-0.009999997429677474
control δ=0.43,0.43,4500,-0.010000002302171379
control δ=0.43,0.43,4520,-0.010000002818115425
control δ=0.43,0.43,4540,-0.009999999403018444
control δ=0.43,0.43,4560,-0.00999999767122925
control δ=0.43,0.43,4580,-0.009999999523757876
control δ=0.43,0.43,4600,-0.010000001541528625
control δ=0.43,0.43,4620,-0.010000000962459621
control δ=0.43,0.43,4640,-0.009999999235170458
control δ=0.43,0.43,4660,-0.009999998983147757
control δ=0.43,0.43,4680,-0.010000000166486396
control δ=0.43,0.43,4700,-0.01000000082097633
control δ=0.43,0.43,4720,-0.010000000200538931
control δ=0.43,0.43,4740,-0.009999999469445612
control δ=0.43,0.43,4760,-0.009999999641547432
control δ=0.43,0.43,4780,-0.010000000252489365
control δ=0.43,0.43,4800,-0.01000000036593688
control δ=0.43,0.43,4820,-0.009999999956988404
control δ=0.43,0.43,4840,-0.009999999711224995
control δ=0.43,0.43,4860,-0.009999999917912259
control δ=0.43,0.43,4880,-0.010000000182061635
control δ=0.43,0.43,4900,-0.01000000013286064
control δ=0.43,0.43,4920,-0.00999999991724648
control δ=0.43,0.43,4940,-0.009999999868650883
control δ=0.43,0.43,4960,-0.010000000009584845
control δ=0.43,0.43,4980,-0.010000000101352227
control δ=0.43,0.43,5000,-0.01000000003289822
control δ=0.43,0.43,5020,-0.00999999993773194
control δ=0.43,0.43,5040,-0.009999999950981902
control δ=0.43,0.43,5060,-0.01000000002689723
control δ=0.43,0.43,5080,-0.010000000047024801
control δ=0.43,0.43,5100,-0.00999999999859499
control δ=0.43,0.43,5120,-0.009999999964524508
control δ=0.43,0.43,5140,-0.009999999987031879
control δ=0.43,0.43,5160,-0.010000000021223159
control δ=0.43,0.43,5180,-0.010000000018016542
control δ=0.43,0.43,5200,-0.00999999999134356
control δ=0.43,0.43,5220,-0.00999999998319803
control δ=0.43,0.43,5240,-0.009999999999794673
control δ=0.43,0.43,5260,-0.010000000012397231
control δ=0.43,0.43,5280,-0.010000000005049282
control δ=0.43,0.43,5300,-0.009999999992783002
control δ=0.43,0.43,5320,-0.009999999993403792
control δ=0.43,0.43,5340,-0.010000000002756753
control δ=0.43,0.43,5360,-0.010000000005988092
control δ=0.43,0.43,5380,-0.010000000000318282
control δ=0.43,0.43,5400,-0.009999999995676065
control δ=0.43,0.43,5420,-0.00999999999806506
control δ=0.43,0.43,5440,-0.010000000002427147
control δ=0.43,0.43,5460,-0.010000000002390578
control δ=0.43,0.43,5480,-0.009999999999143725
control δ=0.43,0.43,5500,-0.009999999997878626
control δ=0.43,0.43,5520,-0.009999999999799884
control δ=0.43,0.43,5540,-0.010000000001496267
control δ=0.43,0.43,5560,-0.0100000000007449
control δ=0.43,0.43,5580,-0.00999999999917341
control δ=0.43,0.43,5600,-0.009999999999116485
control δ=0.43,0.43,5620,-0.010000000000267597
control δ=0.43,0.43,5640,-0.01000000000075256
control δ=0.43,0.43,5660,-0.010000000000091786
control δ=0.43,0.43,5680,-0.009999999999476452
control δ=0.43,0.43,5700,-0.009999999999727529
control δ=0.43,0.43,5720,-0.010000000000285506
control δ=0.43,0.43,5740,-0.01000000000033181
control δ=0.43,0.43,5760,-0.009999999999918048
control δ=0.43,0.43,5780,-0.009999999999744089
control δ=0.43,0.43,5800,-0.009999999999955461
control δ=0.43,0.43,5820,-0.01000000000017922
control δ=0.43,0.43,5840,-0.010000000000099693
control δ=0.43,0.43,5860,-0.009999999999913162
control δ=0.43,0.43,5880,-0.00999999999988025
control δ=0.43,0.43,5900,-0.010000000000029
control δ=0.43,0.43,5920,-0.01000000000009904
control δ=0.43,0.43,5940,-0.010000000000015588
control δ=0.43,0.43,5960,-0.009999999999935068
control δ=0.43,0.43,5980,-0.009999999999951489
control δ=0.43,0.43,6000,-0.010000000000022165
control δ=0.43,0.43,6020,-0.010000000000052845
control δ=0.43,0.43,6040,-0.00999999999999999
control δ=0.43,0.43,6060,-0.009999999999968458
control δ=0.43,0.43,6080,-0.009999999999993483
control δ=0.43,0.43,6100,-0.010000000000023275
control δ=0.43,0.43,6120,-0.010000000000016765
control δ=0.43,0.43,6140,-0.0099999999999854
control δ=0.43,0.43,6160,-0.00999999999997532
control δ=0.43,0.43,6180,-0.010000000000011592
control δ=0.43,0.43,6200,-0.010000000000028215
control δ=0.43,0.43,6220,-0.010000000000010409
control δ=0.43,0.43,6240,-0.010000000000015063
control δ=0.43,0.43,6260,-0.010000000000012815
control δ=0.43,0.43,6280,-0.010000000000012815
control δ=0.43,0.43,6300,-0.010000000000012815
control δ=0.43,0.43,6320,-0.010000000000013144
control δ=0.43,0.43,6340,-0.010000000000013144
control δ=0.43,0.43,6360,-0.010000000000013144
control δ=0.43,0.43,6380,-0.010000000000013144
control δ=0.43,0.43,6400,-0.010000000000013144
control δ=0.43,0.43,6420,-0.010000000000013144
control δ=0.43,0.43,6440,-0.010000000000013144
control δ=0.43,0.43,6460,-0.010000000000013144
control δ=0.43,0.43,6480,-0.010000000000010837
control δ=0.43,0.43,6500,-0.010000000000008422
control δ=0.43,0.43,6520,-0.01000000000000633
control δ=0.43,0.43,6540,-0.009999999999996614
control δ=0.43,0.43,6560,-0.009999999999989132
control δ=0.43,0.43,6580,-0.00999999999998983
control δ=0.43,0.43,6600,-0.00999999999998983
control δ=0.43,0.43,6620,-0.00999999999998983
control δ=0.43,0.43,6640,-0.00999999999998983
control δ=0.43,0.43,6660,-0.00999999999998983
control δ=0.43,0.43,6680,-0.00999999999998983
control δ=0.43,0.43,6700,-0.00999999999998983
control δ=0.43,0.43,6720,-0.00999999999998983
control δ=0.43,0.43,6740,-0.00999999999998983
control δ=0.43,0.43,6760,-0.00999999999998983
control δ=0.43,0.43,6780,-0.00999999999998983
control δ=0.43,0.43,6800,-0.00999999999998983
control δ=0.43,0.43,6820,-0.00999999999998983
control δ=0.43,0.43,6840,-0.00999999999998983
control δ=0.43,0.43,6860,-0.00999999999998983
control δ=0.43,0.43,6880,-0.00999999999998983
control δ=0.43,0.43,6900,-0.00999999999998983
control δ=0.43,0.43,6920,-0.00999999999998983
control δ=0.43,0.43,6940,-0.00999999999998983
control δ=0.43,0.43,6960,-0.00999999999998983
control δ=0.43,0.43,6980,-0.00999999999998983
control δ=0.43,0.43,7000,-0.00999999999998983
control δ=0.43,0.43,7020,-0.00999999999998983
control δ=0.43,0.43,7040,-0.00999999999998983
control δ=0.43,0.43,7060,-0.00999999999998983
control δ=0.43,0.43,7080,-0.00999999999998983
control δ=0.43,0.43,7100,-0.00999999999998983
control δ=0.43,0.43,7120,-0.00999999999998983
control δ=0.43,0.43,7140,-0.00999999999998983
control δ=0.43,0.43,7160,-0.00999999999998983
control δ=0.43,0.43,7180,-0.00999999999998983
control δ=0.43,0.43,7200,-0.00999999999998983
control δ=0.43,0.43,7220,-0.00999999999998983
control δ=0.43,0.43,7240,-0.00999999999998983
control δ=0.43,0.43,7260,-0.00999999999998983
control δ=0.43,0.43,7280,-0.00999999999998983
control δ=0.43,0.43,7300,-0.00999999999998983
control δ=0.43,0.43,7320,-0.00999999999998983
control δ=0.43,0.43,7340,-0.00999999999998983
control δ=0.43,0.43,7360,-0.00999999999998983
control δ=0.43,0.43,7380,-0.00999999999998983
control δ=0.43,0.43,7400,-0.00999999999998983
control δ=0.43,0.43,7420,-0.00999999999998983
control δ=0.43,0.43,7440,-0.00999999999998983
control δ=0.43,0.43,7460,-0.00999999999998983
control δ=0.43,0.43,7480,-0.00999999999998983
control δ=0.43,0.43,7500,-0.00999999999998983
control δ=0.43,0.43,7520,-0.00999999999998983
control δ=0.43,0.43,7540,-0.00999999999998983
control δ=0.43,0.43,7560,-0.00999999999998983
control δ=0.43,0.43,7580,-0.00999999999998983
control δ=0.43,0.43,7600,-0.00999999999998983
control δ=0.43,0.43,7620,-0.00999999999998983
control δ=0.43,0.43,7640,-0.00999999999998983
control δ=0.43,0.43,7660,-0.00999999999998983
control δ=0.43,0.43,7680,-0.00999999999998983
control δ=0.43,0.43,7700,-0.00999999999998983
control δ=0.43,0.43,7720,-0.00999999999998983
control δ=0.43,0.43,7740,-0.00999999999998983
control δ=0.43,0.43,7760,-0.00999999999998983
control δ=0.43,0.43,7780,-0.00999999999998983
control δ=0.43,0.43,7800,-0.00999999999998983
control δ=0.43,0.43,7820,-0.00999999999998983
control δ=0.43,0.43,7840,-0.00999999999998983
control δ=0.43,0.43,7860,-0.00999999999998983
control δ=0.43,0.43,7880,-0.00999999999998983
control δ=0.43,0.43,7900,-0.00999999999998983
control δ=0.43,0.43,7920,-0.00999999999998983
control δ=0.43,0.43,7940,-0.00999999999998983
control δ=0.43,0.43,7960,-0.00999999999998983
control δ=0.43,0.43,7980,-0.00999999999998983
control δ=0.43,0.43,8000,-0.00999999999998983
control δ=1.29,1.29,20,-0.521511115702546
control δ=1.29,1.29,40,4.354114108496162
control δ=1.29,1.29,60,1.2364535284944296
control δ=1.29,1.29,80,0.5627537822771791
control δ=1.29,1.29,100,0.5902171946046948
control δ=1.29,1.29,120,0.5912866829872477
control δ=1.29,1.29,140,0.5912193906993624
control δ=1.29,1.29,160,0.5912246168725912
control δ=1.29,1.29,180,0.6025913667765568
control δ=1.29,1.29,200,0.5870107844481497
control δ=1.29,1.29,220,0.5891241031639014
control δ=1.29,1.29,240,0.589011632651109
control δ=1.29,1.29,260,0.5890405756215147
control δ=1.29,1.29,280,0.589083776965764
control δ=1.29,1.29,300,0.589124346754859
control δ=1.29,1.29,320,0.5891675143846162
control δ=1.29,1.29,340,0.5892132370379604
control δ=1.29,1.29,360,0.5892620380647637
control δ=1.29,1.29,380,0.5893147047536128
control δ=1.29,1.29,400,0.5893724137322083
control δ=1.29,1.29,420,0.5894371181204584
control δ=1.29,1.29,440,0.5895125441439601
control δ=1.29,1.29,460,0.5896079347570983
control δ=1.29,1.29,480,0.5697448838194927
control δ=1.29,1.29,500,0.41605471819749174
control δ=1.29,1.29,520,0.5883075359103267
control δ=1.29,1.29,540,0.41581488212365464
control δ=1.29,1.29,560,0.41580202277978656
control δ=1.29,1.29,580,0.4156529669034296
control δ=1.29,1.29,600,0.4156143794430215
control δ=1.29,1.29,620,0.41560730934070156
control δ=1.29,1.29,640,0.415606913954474
control δ=1.29,1.29,660,0.4156081904541543
control δ=1.29,1.29,680,0.41560755341356054
control δ=1.29,1.29,700,0.41560721994989763
control δ=1.29,1.29,720,0.4156072609079602
control δ=1.29,1.29,740,0.4156073521548711
control δ=1.29,1.29,760,0.41560735076352906
control δ=1.29,1.29,780,0.41560732886360574
control δ=1.29,1.29,800,0.41560732603212813
control δ=1.29,1.29,820,0.4156073309141701
control δ=1.29,1.29,840,0.41560733225266666
control δ=1.29,1.29,860,0.4156073312592128
control δ=1.29,1.29,880,0.41560733080202583
control δ=1.29,1.29,900,0.41560733097869573
control δ=1.29,1.29,920,0.4156073311126738
control δ=1.29,1.29,940,0.41560733108842624
control δ=1.29,1.29,960,0.4156073310528908
control δ=1.29,1.29,980,0.41560733105389214
control δ=1.29,1.29,1000,0.4156073310625639
control δ=1.29,1.29,1020,0.4156073310635054
control δ=1.29,1.29,1040,0.415607331061534
control δ=1.29,1.29,1060,0.4156073310610523
control δ=1.29,1.29,1080,0.41560733106144376
control δ=1.29,1.29,1100,0.4156073310616361
control δ=1.29,1.29,1120,0.41560733106157055
control δ=1.29,1.29,1140,0.41560733106150755
control δ=1.29,1.29,1160,0.41560733106152203
control δ=1.29,1.29,1180,0.41560733106152636
control δ=1.29,1.29,1200,0.41560733106152375
control δ=1.29,1.29,1220,0.41560733106152525
control δ=1.29,1.29,1240,0.41560733106152786
control δ=1.29,1.29,1260,0.4156073310615323
control δ=1.29,1.29,1280,0.41560733106152814
control δ=1.29,1.29,1300,0.41560733106152636
control δ=1.29,1.29,1320,0.41560733106151787
control δ=1.29,1.29,1340,0.4156073310615365
control δ=1.29,1.29,1360,0.4156073310615131
control δ=1.29,1.29,1380,0.41560733106154335
control δ=1.29,1.29,1400,0.4156073310615248
control δ=1.29,1.29,1420,0.4156073310615215
control δ=1.29,1.29,1440,0.4156073310615296
control δ=1.29,1.29,1460,0.41560733106151415
control δ=1.29,1.29,1480,0.41560733106154535
control δ=1.29,1.29,1500,0.4156073310615275
control δ=1.29,1.29,1520,0.41560733106154524
control δ=1.29,1.29,1540,0.41560733106152103
control δ=1.29,1.29,1560,0.41560733106152253
control δ=1.29,1.29,1580,0.41560733106152853
control δ=1.29,1.29,1600,0.4156073310615395
control δ=1.29,1.29,1620,0.4156073310615353
control δ=1.29,1.29,1640,0.41560733106153
control δ=1.29,1.29,1660,0.4156073310615298
control δ=1.29,1.29,1680,0.41560733106153486
control δ=1.29,1.29,1700,0.4156073310615391
control δ=1.29,1.29,1720,0.4156073310615187
control δ=1.29,1.29,1740,0.41560733106153114
control δ=1.29,1.29,1760,0.41560733106154546
control δ=1.29,1.29,1780,0.41560733106154024
control δ=1.29,1.29,1800,0.41560733106152786
control δ=1.29,1.29,1820,0.41560733106153125
control δ=1.29,1.29,1840,0.4156073310615298
control δ=1.29,1.29,1860,0.4156073310615246
control δ=1.29,1.29,1880,0.4156073310615327
control δ=1.29,1.29,1900,0.41560733106153985
control δ=1.29,1.29,1920,0.41560733106152614
control δ=1.29,1.29,1940,0.4156073310615208
control δ=1.29,1.29,1960,0.4156073310615366
control δ=1.29,1.29,1980,0.41560733106152503
control δ=1.29,1.29,2000,0.41560733106152625
control δ=1.29,1.29,2020,0.4156073310615309
control δ=1.29,1.29,2040,0.41560733106153414
control δ=1.29,1.29,2060,0.41560733106152214
control δ=1.29,1.29,2080,0.41560733106153513
control δ=1.29,1.29,2100,0.4156073310615388
control δ=1.29,1.29,2120,0.41560733106151826
control δ=1.29,1.29,2140,0.41560733106153647
control δ=1.29,1.29,2160,0.4156073310615229
control δ=1.29,1.29,2180,0.41560733106153536
control δ=1.29,1.29,2200,0.4156073310615329
control δ=1.29,1.29,2220,0.4156073310615089
control δ=1.29,1.29,2240,0.4156073310615357
control δ=1.29,1.29,2260,0.41560733106152614
control δ=1.29,1.29,2280,0.41560733106151826
control δ=1.29,1.29,2300,0.41560733106152914
control δ=1.29,1.29,2320,0.4156073310615217
control δ=1.29,1.29,2340,0.4156073310615487
control δ=1.29,1.29,2360,0.4156073310615235
control δ=1.29,1.29,2380,0.41560733106152803
control δ=1.29,1.29,2400,0.4156073310615323
control δ=1.29,1.29,2420,0.41560733106151926
control δ=1.29,1.29,2440,0.41560733106152137
control δ=1.29,1.29,2460,0.4156073310615168
control δ=1.29,1.29,2480,0.41560733106151937
control δ=1.29,1.29,2500,0.41560733106151804
control δ=1.29,1.29,2520,0.41560733106152237
control δ=1.29,1.29,2540,0.41560733106151215
control δ=1.29,1.29,2560,0.41560733106150577
control δ=1.29,1.29,2580,0.4156073310615216
control δ=1.29,1.29,2600,0.4156073310615126
control δ=1.29,1.29,2620,0.4156073310615135
control δ=1.29,1.29,2640,0.4156073310615189
control δ=1.29,1.29,2660,0.41560733106151426
control δ=1.29,1.29,2680,0.41560733106151904
control δ=1.29,1.29,2700,0.4156073310614986
control δ=1.29,1.29,2720,0.4156073310615046
control δ=1.29,1.29,2740,0.4156073310615205
control δ=1.29,1.29,2760,0.4156073310615035
control δ=1.29,1.29,2780,0.4156073310615428
control δ=1.29,1.29,2800,0.4156073310615428
control δ=1.29,1.29,2820,0.41560733106148423
control δ=1.29,1.29,2840,0.41560733106150516
control δ=1.29,1.29,2860,0.4156073310615033
control δ=1.29,1.29,2880,0.4156073310615038
control δ=1.29,1.29,2900,0.4156073310615036
control δ=1.29,1.29,2920,0.4156073310614832
control δ=1.29,1.29,2940,0.4156073310615057
control δ=1.29,1.29,2960,0.4156073310615016
control δ=1.29,1.29,2980,0.41560733106152464
control δ=1.29,1.29,3000,0.4156073310615058
control δ=1.29,1.29,3020,0.41560733106152015
control δ=1.29,1.29,3040,0.4156073310614972
control δ=1.29,1.29,3060,0.4156073310615124
control δ=1.29,1.29,3080,0.4156073310615336
control δ=1.29,1.29,3100,0.415607331061515
control δ=1.29,1.29,3120,0.41560733106151293
control δ=1.29,1.29,3140,0.4156073310614967
control δ=1.29,1.29,3160,0.4156073310615095
control δ=1.29,1.29,3180,0.4156073310614952
control δ=1.29,1.29,3200,0.4156073310615044
control δ=1.29,1.29,3220,0.41560733106151715
control δ=1.29,1.29,3240,0.41560733106149583
control δ=1.29,1.29,3260,0.41560733106149766
control δ=1.29,1.29,3280,0.41560733106150116
control δ=1.29,1.29,3300,0.41560733106152453
control δ=1.29,1.29,3320,0.4156073310615167
control δ=1.29,1.29,3340,0.41560733106150116
control δ=1.29,1.29,3360,0.4156073310615159
control δ=1.29,1.29,3380,0.41560733106150205
control δ=1.29,1.29,3400,0.4156073310615189
control δ=1.29,1.29,3420,0.4156073310614854
control δ=1.29,1.29,3440,0.41560733106152903
control δ=1.29,1.29,3460,0.4156073310615009
control δ=1.29,1.29,3480,0.4156073310614916
