panel,serie,delta,re,im
A_abierto,vertice1,0.0,-0.3333333333333333,0.33333333333333326
A_abierto,vertice1,0.0,-0.3333333333333333,-0.33333333333333326
A_abierto,vertice2,0.0,-0.33333333333333326,0.0
A_abierto,vertice2,0.0,-0.6666666666666667,0.0
A_abierto,vertice1,0.1,-0.2931034482758621,0.32667750554304176
A_abierto,vertice1,0.1,-0.2931034482758621,-0.32667750554304176
A_abierto,vertice2,0.1,-0.5344827586206897,0.1452784443651097
A_abierto,vertice2,0.1,-0.5344827586206897,-0.1452784443651097
A_abierto,vertice1,0.2,-0.25000000000000006,0.3174355149041282
A_abierto,vertice1,0.2,-0.25000000000000006,-0.3174355149041282
A_abierto,vertice2,0.2,-0.5714285714285715,0.2672612419124245
A_abierto,vertice2,0.2,-0.5714285714285715,-0.2672612419124245
A_abierto,vertice1,0.30000000000000004,-0.20370370370370366,0.30485328950285784
A_abierto,vertice1,0.30000000000000004,-0.20370370370370366,-0.30485328950285784
A_abierto,vertice2,0.30000000000000004,-0.6111111111111112,0.3508758392869707
A_abierto,vertice2,0.30000000000000004,-0.6111111111111112,-0.3508758392869707
A_abierto,vertice1,0.4,-0.15384615384615388,0.28781979898261073
A_abierto,vertice1,0.4,-0.15384615384615388,-0.28781979898261073
A_abierto,vertice2,0.4,-0.6538461538461539,0.41956585056291207
A_abierto,vertice2,0.4,-0.6538461538461539,-0.41956585056291207
A_abierto,vertice1,0.5,-0.1,0.2645751311064591
A_abierto,vertice1,0.5,-0.1,-0.2645751311064591
A_abierto,vertice2,0.5,-0.7,0.479583152331272
A_abierto,vertice2,0.5,-0.7,-0.479583152331272
A_abierto,vertice1,0.6000000000000001,-0.04166666666666659,0.23199018178458405
A_abierto,vertice1,0.6000000000000001,-0.04166666666666659,-0.23199018178458405
A_abierto,vertice2,0.6000000000000001,-0.75,0.5335936864527374
A_abierto,vertice2,0.6000000000000001,-0.75,-0.5335936864527374
