absc_ol,normA,normB,condA,dispA,N,ds_idx,cl_absc_dr,feas_dr,stabilized
0.11237592657930978,1.1172304790423304,0.12317310978341608,76.10625700002072,0.6769749928479898,2,274,-0.0538145578987267,-4.485359016515759e-18,True
0.3437500945744195,1.0899861228849348,0.11799410467192352,25.489691148531005,0.5385710649855985,2,311,-0.06593180038231979,-3.2039710561059867e-12,True
0.024625423336817644,1.4366381677165942,0.21228081197089754,48.22333916198719,1.2268608108915078,2,127,-0.04139717487720769,-1.7004566291310025e-06,True
0.4827215477981613,1.4354176820620916,0.13828010987405606,992.7810350534202,1.020396248123637,2,451,0.020189179438117648,-1.6844383117729915e-06,False
0.17427495079497834,1.149133611776763,0.06376673503757242,20.596553708452213,0.743321188332009,2,46,-0.016981404812115807,-9.132666264430085e-18,True
1.0470459348527104,1.362826384578668,0.15260929635750722,8.79561102150878,1.096288362414963,2,458,-0.03499772221510238,-8.351919353496593e-14,True
1.4607464245405648,1.4675417432200886,0.18096696769400047,3.630017663799176,0.7794229221213059,2,373,-0.5529796268721328,-4.843821374331627e-14,True
0.43426372486924386,1.0535754115409812,0.05019392383628226,41.036396901764306,0.7545484351350171,2,477,-0.018739029436126653,-3.97248930700309e-06,True
0.5103007290282887,1.5458359027318254,0.10391946561913491,35.718103871391854,0.9746479508439433,2,88,-0.012800990575259923,-6.740697393066699e-18,True
0.2018882229991451,1.164578452496603,0.0962948326028899,6.5398253093559875,0.4698588299548129,2,294,-0.3320690257884127,-2.333215401506448e-18,True
0.14210093006954133,1.4151978626359354,0.14979358784279137,10.091561599489498,0.7957727837700026,2,181,-0.022964626315480352,-1.1297616781118875e-17,True
0.3751935792534535,1.554053424081513,0.13877135509696592,12.009174807305529,0.8930661697865301,2,23,-0.018209827658898482,-7.512484655137222e-17,True
0.20431638174506014,1.3415758333702767,0.12243673492353557,23.45287495000843,1.0689286990448277,2,182,-0.1529688371633919,-1.6643750827042555e-06,True
0.5249891504996431,1.3356479715351721,0.17989394965368913,169.9680497902811,0.8269102266645562,2,251,-0.015397103839169552,-1.2326948739163935e-08,True
0.6100934208690475,1.727046008071066,0.1585523304191919,10.28961530947028,1.2779611070435803,2,282,-0.01305406164227093,-5.329350641741742e-14,True
0.5998458072400229,1.3623646637266276,0.11386377565233505,4.978465951717936,0.6068055301070117,2,19,-0.402484287122991,-1.8714827631809206e-17,True
-0.08937959347906624,1.2640023271091816,0.2049658143275497,15.6915163738559,0.7221121223062826,2,86,-0.20496584821034267,-5.152771389947003e-14,True
0.08438100478382582,1.403387896803265,0.04831300085159559,32.33271612858848,0.6907202105387659,2,421,-0.04755677732692285,-1.2989455220118693e-12,True
0.15244096196537046,1.5314733087504744,0.16565457046877338,26.63729774094208,1.1850086731380958,2,234,-0.06243776665245298,5.457150216265382e-12,True
0.23545205420322773,1.3391678385450596,0.07209804658829679,8.28277523656729,0.764425242694243,2,135,-0.05853048146726539,-2.608548981546424e-09,True
0.028224390314888964,1.1126095617533325,0.032773609453723256,531.1455044795431,0.4010304610136986,2,240,0.004131122478360159,-5.400311297614259e-06,False
0.00775612257044848,1.3558087806684789,0.08624840537705263,180.40891595847074,0.3490283257018797,2,346,-0.35806899276015247,6.92672699831638e-11,True
0.6010015250950381,1.412790540343072,0.21185790588829098,20.2898425430521,1.1435143386362834,2,157,-0.10288667483435494,-0.0002459493628016737,True
0.0906776045756094,1.4556371070865224,0.11221285984368307,92.1573200331566,0.6204250926466024,2,225,-0.13135044952471547,-6.391546657843897e-17,True
0.0060267033911808555,1.120331479415717,0.07829855097494225,168.84997139719258,0.45188377647742534,2,487,-0.03607695553551281,-2.4491847148037195e-05,True
0.05473299012690813,1.08308450083208,0.0499019135618812,42.96963122615872,0.4266161615228845,2,107,-0.2937257342163482,-8.736057668218702e-18,True
0.0557183099173469,1.570220949615363,0.04129110751746805,38.435160727097426,0.41538352805436424,2,249,-0.20568246419964842,1.3129957890739655e-18,True
0.8855218468781816,1.4802258477872305,0.07992832136581357,60.11305685931091,1.0855176024779212,2,299,-0.034835848049559116,9.257533952527413e-12,True
0.15288931935984063,1.468822390546565,0.12287573910150154,35.110421174859994,0.8692309431296416,2,7,-0.018459664961266997,5.975765008868026e-17,True
0.09339433555711746,1.386454737410105,0.12864277893108342,75.18333800471882,0.7366638061043367,2,406,-0.02687599708248393,-2.7678866930060095e-17,True
0.907476459657286,1.2198171352386005,0.044640919183449944,5.446508258438087,0.5788749911688136,2,444,-0.21725273402926898,-1.698475161246239e-17,True
0.20652656069297065,1.4235036361991444,0.147270637369269,19.51519406937969,0.7367292742465062,2,192,-0.026506076695402683,-4.3078531785130136e-11,True
0.21503666182768644,1.2686057484626394,0.12867359309081375,52.72511600511513,0.7933078439874827,2,216,-0.25258426856418675,-4.841326944203832e-12,True
0.03709305502496851,1.18484321309026,0.07694704193338059,36.58927381077306,0.6755778126447128,2,385,-0.12445330418128156,7.175945582177922e-14,True
0.2013044232332788,1.314033358653571,0.11203654125359355,5.352981313464824,0.4297136616226765,2,380,-0.6272698736364514,-3.793903708951387e-11,True
0.547016149110312,1.0528263595523195,0.09331635049438482,61.13511289578287,0.8182026878092478,2,132,-0.12314054157644724,-1.1127677016956647e-17,True
0.35064415001447824,1.5904759339920425,0.09941042842248551,14.088709815801382,1.1080737684731714,2,162,-0.06839130264224454,-5.7061274971449e-15,True
0.2419661563667621,1.8854251840005276,0.20759789526011943,14.068229691152599,0.9310638298964913,2,211,-0.04433951655272428,4.45660913656224e-09,True
0.3029942296887843,1.1249826878212688,0.0906013927015167,33.18046827208267,0.46630580493782686,2,245,-0.03501377614248546,-7.507797509988004e-17,True
0.16825977778204118,1.5293000955055525,0.16251125978412082,20.192404919039383,0.7845260249155318,2,469,-0.03018648619200266,2.374416380344348e-10,True
0.7702692255566426,1.4777485554765641,0.1021806260201314,308.723939257135,1.064557655144794,2,402,-0.05786557488074123,-5.315159028776916e-18,True
0.0016520956409457061,1.5458357287932283,0.2236760436392994,10.64530222023186,0.7304344674476609,2,141,-0.042474572427630045,-1.0713140867386332e-14,True
0.21748580922756014,1.2723402080225177,0.04465841475631313,75.1411041244017,0.7677168823610648,2,61,-0.04995813001475925,-3.675604409610354e-11,True
0.14720319590480516,1.4812074212108974,0.25807143853595704,12.650238661084778,0.8465798324377277,2,278,-0.02579502816459004,4.918593940624515e-11,True
-0.006156977985806325,1.2539545371577903,0.0885552452381932,15.317222789900045,0.7225539995957524,2,42,-0.010137968061371435,-1.350367376314163e-17,True
0.32950227414015193,1.0857082667252025,0.09874879285771959,21.598637507081325,0.8918718945830497,2,390,-0.024951024632860863,2.3650878295475247e-17,True
0.25319889325869427,1.0249682913211724,0.053624548394144836,50.371730716984594,0.3864706081181817,2,103,0.05244763101020139,-6.616648386527904e-05,False
0.03781222296097441,1.752873074891717,0.2890937400188411,64.38743077785703,0.8259741819597304,2,372,-0.8405187992973979,-1.3990247226201776e-10,True
0.9240544510181204,1.2326211066916846,0.07423676548098117,12.134284049204354,1.0223259451527515,2,367,-0.11939298186341177,-1.4092230181082083e-15,True
0.3476772337343263,2.163868322164689,0.19203010224724248,13.718384220780358,0.9726526138448569,2,190,-0.09877768608293253,-1.0312984361068878e-08,True
0.27931223494313706,1.3524559945786498,0.05014736643479022,26.032820865559113,0.22597963699588774,2,420,-0.03721459434691794,-1.9208401213377337e-06,True
0.05428934714482769,1.5504410061833733,0.1387494225790308,15.310291311873806,0.7604151980973654,2,305,-0.36263620479091907,-2.498683410835088e-14,True
0.13170869126945045,1.5891534125261428,0.07588985294411603,28.019210699124653,0.6882200885418751,2,21,-0.32986024698492533,1.0323468291309549e-16,True
0.0025049972992154945,1.1307435464640272,0.09496914394706982,527.3885929466195,0.4599342041130326,2,160,-0.16500821708374205,1.2758154132407493e-10,True
0.36308688017697266,1.4991784322377162,0.12091410367288292,18.89788242299629,0.6327272358624515,2,338,-0.21651554328964803,-3.563331908169418e-10,True
0.03689932559880288,1.5432155690544407,0.13001428396572812,131.25188246877633,0.6577221407204773,2,9,-0.048976043573637294,-2.0023990236499724e-12,True
