sistema,N,n,m,estabilizado,peor_autovalor_cl,decay_logrado,infer_ms,lmi_factible_cvxpy,cvxpy_ms,loss_red,loss_cvxpy,shift,lmi_factible,iters_min,estabilizado_en_max_iters
0,1,3,1,True,-1.072195896088614,1.072195896088614,46.91191599704325,True,4.378750018076971,-31.12495510592044,-34.53877639587265,-3.0,True,100.0,True
0,1,3,1,True,-0.8939954214105892,0.8939954214105892,32.719750015530735,True,3.5379999899305403,-30.858358340811435,-34.53877635533756,-2.4444444444444446,True,100.0,True
0,1,3,1,True,-0.7151327767868196,0.7151327767868196,34.15487500024028,True,4.19916698592715,-29.719400862691085,-34.53877625591294,-1.8888888888888888,True,100.0,True
0,1,3,1,True,-0.5430484209111202,0.5430484209111202,34.12316698813811,True,3.9827500004321337,-28.605698380868972,-34.53879314771798,-1.3333333333333333,True,100.0,True
0,1,3,1,True,-0.35100828727959815,0.35100828727959815,33.00695799407549,True,3.816791024291888,-28.002950944573172,-34.538811753028185,-0.7777777777777777,True,100.0,True
0,1,3,1,True,-0.19841693628600632,0.19841693628600632,34.573999990243465,True,4.37804200919345,-29.187900833405905,-33.81803315898922,-0.22222222222222232,True,100.0,True
0,1,3,1,False,0.12848304693378568,-0.12848304693378568,34.53541602357291,True,4.766165977343917,-31.8689957362608,-31.35459854437208,0.3333333333333335,True,8000.0,True
0,1,3,1,False,0.28020789242258404,-0.28020789242258404,34.17241599527188,True,4.702707985416055,-32.90237831158475,-28.910018360977443,0.8888888888888893,True,,False
0,1,3,1,False,0.3795092846179452,-0.3795092846179452,32.83733400166966,True,5.0362909969408065,-35.861709168173256,-27.031092074901952,1.4444444444444446,True,,False
0,1,3,1,False,0.6195342917172141,-0.6195342917172141,33.63295900635421,True,6.958250014577061,-36.53151855738881,-25.524535388791296,2.0,True,100.0,False
