sistema,N,n,m,estabilizado,peor_autovalor_cl,decay_logrado,infer_ms,lmi_factible_cvxpy,cvxpy_ms,loss_red,loss_cvxpy,delta,lmi_factible,iters_min,peor_eig_max_iters
0,2,2,1,True,-0.17907051526628948,0.17907051526628948,4.558416025247425,True,4.029875010019168,6.290631886723958e-05,2.1565949326576352e-05,0.0,True,100.0,-0.010019357957410598
0,2,2,1,True,-0.1392004137230174,0.1392004137230174,4.949207999743521,True,4.478333983570337,4.0161251967995016e-05,2.868876776598438e-05,0.14285714285714285,True,100.0,-0.010000000000001992
0,2,2,1,True,-0.13725413277086318,0.13725413277086318,4.783834010595456,True,4.355374985607341,3.18862263553711e-05,4.1324804269504036e-05,0.2857142857142857,True,100.0,-0.010000000000000469
0,2,2,1,True,-0.19487587210448964,0.19487587210448964,4.627082991646603,True,5.1357919874135405,2.227209653823848e-05,6.0237768340584034e-05,0.42857142857142855,True,100.0,-0.009999999999998262
0,2,2,1,False,308.9958134034259,-308.9958134034259,4.798000009031966,True,4.238791007082909,1.8946969910968446e-05,8.507558387567027e-05,0.5714285714285714,True,2000.0,-0.009999999999994015
0,2,2,1,False,56.35405136527792,-56.35405136527792,4.640209022909403,True,4.282207984942943,1.97065170703046e-05,0.00011592321900193685,0.7142857142857142,True,2000.0,-0.010000000000006178
0,2,2,1,False,26.97780519718031,-26.97780519718031,4.49187500635162,True,4.192334017716348,2.908766685489504e-05,0.00015295645644460826,0.8571428571428571,True,4000.0,-0.009999999999931227
0,2,2,1,False,17.55885823093333,-17.55885823093333,4.915959027130157,True,4.211583000142127,5.094301619358817e-05,0.0001962905854260054,1.0,True,4000.0,-0.010000000003258173
0,2,2,1,False,47.18457747753001,-47.18457747753001,4.872874997090548,True,4.157958988798782,9.289473995926707e-06,0.0002467724521434746,1.1428571428571428,True,4000.0,-0.009999999988435777
0,2,2,1,False,0.1500510580816865,-0.1500510580816865,4.715666000265628,True,4.310791002353653,9.699681536339562e-06,0.00030383772204800445,1.2857142857142856,True,8000.0,-0.010000000546012647
0,2,2,1,False,1.6281831789038939,-1.6281831789038939,4.667375003919005,True,4.25729199196212,1.1452709336355288e-06,0.0003675100450021329,1.4285714285714284,True,8000.0,-0.010000013133562165
0,2,2,1,False,0.4575389001311986,-0.4575389001311986,4.755167028633878,True,4.086874978384003,9.101885267758757e-06,0.000436583157830081,1.5714285714285714,True,8000.0,-0.010001351988908891
0,2,2,1,False,0.5805638522502553,-0.5805638522502553,4.841791000217199,True,4.512499988777563,9.559169597762483e-06,0.000509912919162537,1.7142857142857142,True,8000.0,-0.009239336960856541
0,2,2,1,False,0.5470245382478325,-0.5470245382478325,4.711166984634474,True,4.592582990881056,9.744326538273306e-06,0.0005933627938515063,1.857142857142857,True,,0.013880014397928919
0,2,2,1,False,0.5662514336890854,-0.5662514336890854,5.075416003819555,True,5.165125010535121,9.977422795576076e-06,0.0006880483339249119,2.0,True,,0.7886841548193478
