sistema,N,n,m,estabilizado,peor_autovalor_cl,decay_logrado,infer_ms,lmi_factible_cvxpy,cvxpy_ms,loss_red,loss_cvxpy,shift,lmi_factible,iters_min,estabilizado_en_max_iters
0,1,3,1,True,-0.9915267041115791,0.9915267041115791,47.90529198362492,True,4.425624996656552,0.0008375763240583955,2.9999999990330506e-05,-3.0,True,100.0,True
0,1,3,1,True,-0.769637159738014,0.769637159738014,33.46124998643063,True,3.7527089880313724,0.001108504431364395,3.0000000395739974e-05,-2.4444444444444446,True,100.0,True
0,1,3,1,True,-0.5592985264415203,0.5592985264415203,33.68658301769756,True,3.856583993183449,0.0012380792604030323,3.0000001389819626e-05,-1.8888888888888888,True,100.0,True
0,1,3,1,True,-0.35874047042959467,0.35874047042959467,34.20216700760648,True,4.032875003758818,0.0010412397001376681,2.9999836001843962e-05,-1.3333333333333333,True,100.0,True
0,1,3,1,True,-0.25382264959441836,0.25382264959441836,34.125834004953504,True,4.349750000983477,8.977935694441888e-05,2.9999663698679825e-05,-0.7777777777777777,True,100.0,True
0,1,3,1,False,0.03781641492142865,-0.03781641492142865,33.82945799967274,True,4.092040995601565,3.577685959675956e-05,4.0559689275657264e-05,-0.22222222222222232,True,250.0,True
0,1,3,1,False,0.09515556899832626,-0.09515556899832626,33.74033299041912,True,4.797625006176531,2.7747117295586442e-05,0.00011426042573517402,0.3333333333333335,True,,False
0,1,3,1,False,0.26175200657100484,-0.26175200657100484,33.544791978783906,True,4.912333999527618,2.4912505284311003e-05,0.0004157252791430878,0.8888888888888893,True,,False
0,1,3,1,False,0.4373722979753734,-0.4373722979753734,34.84237499651499,True,5.055374989751726,2.11554835507228e-05,0.001389036373528474,1.4444444444444446,True,,False
0,1,3,1,False,0.6195342915212182,-0.6195342915212182,34.2785420070868,True,7.089042017469183,1.7974398021577107e-05,0.003839307087902344,2.0,True,,False
