order,m,N,condA,normB,stab_500,stab_1000,stab_2000,stab_4000,stab_10000
3,1,2,11.615221964003641,0.09119660019946274,True,True,True,True,True
3,1,2,112.75192640500416,0.05387013399514712,True,True,True,True,True
3,1,2,50.371730716984594,0.053624548394144836,False,True,True,True,True
3,1,2,12.835656305978025,0.17298021211502854,True,True,True,True,True
3,1,2,19.490396276577,0.13217128067022618,True,True,True,True,True
3,1,2,25.489691148531005,0.11799410467192352,True,True,True,True,True
3,1,2,109.76063020800822,0.1912104747593135,True,True,True,True,True
3,1,2,14.049639460307823,0.07625081233818233,True,True,True,True,True
3,1,2,354.082260060222,0.13765997079838013,False,False,False,False,False
3,1,2,9.408739842802502,0.10003823316550853,True,True,True,True,True
3,1,2,452.89540695354947,0.07456399138806234,False,False,False,False,False
3,1,2,219.41937966965995,0.027638177213597213,True,True,True,True,True
3,1,2,6.5398253093559875,0.0962948326028899,True,True,True,True,True
3,1,2,168.56568925847714,0.14922669415269593,True,True,True,True,True
3,1,2,116.11682746167538,0.12207074073061984,False,False,False,True,True
3,1,2,16.925945380043135,0.2513787877801039,True,True,True,True,True
3,1,2,184.50516023642749,0.1254567299980539,True,True,True,True,True
3,1,2,12.009174807305529,0.13877135509696592,True,True,True,True,True
3,1,2,35.02353160528686,0.14776475267534828,True,True,True,True,True
3,1,2,39.16097026925372,0.11261390413282742,False,False,False,True,True
3,1,2,185.80213334800237,0.06415137041821127,False,False,False,False,False
3,1,2,6.568783739535997,0.11577805703950224,True,True,True,True,True
3,1,2,22.311559156319312,0.12151870314468328,False,False,False,False,False
3,1,2,61.13511289578287,0.09331635049438482,True,True,True,True,True
3,1,2,290.846671837916,0.13390835980532528,False,False,False,True,True
3,1,2,35.31571517197937,0.041190562809417054,True,True,True,True,True
3,1,2,14.03056743134748,0.13224780325357663,True,True,True,True,True
3,1,2,32.371861558380004,0.1701386406917435,True,True,True,True,True
3,1,2,13.26143654004104,0.10897651936606995,True,True,True,True,True
3,1,2,9.942296279284774,0.13906335429432812,True,True,True,True,True
3,1,2,6.104122941202817,0.12287691359867596,True,True,True,True,True
3,1,2,308.723939257135,0.1021806260201314,False,False,True,True,True
3,1,2,588.4543132214784,0.026436071566102365,True,True,True,True,True
3,1,2,7.824386606661992,0.12775242537825807,True,True,True,True,True
3,1,2,44.06949112018176,0.12272690597601645,True,True,True,True,True
3,1,2,19.264082256353188,0.10272696035871144,False,False,True,True,True
3,1,2,74.2017867233029,0.13614209898013205,False,True,True,False,False
