dr_tr,m,N,estable_pct,train_s
30,1,2,86.66666666666667,14.771872040990274
30,1,3,76.66666666666667,14.771872040990274
30,1,4,86.66666666666667,14.771872040990274
30,1,5,86.66666666666667,14.771872040990274
30,2,2,100.0,14.771872040990274
30,2,3,90.0,14.771872040990274
30,2,4,86.66666666666667,14.771872040990274
30,2,5,83.33333333333333,14.771872040990274
500,1,2,70.0,201.16562620797777
500,1,3,83.33333333333333,201.16562620797777
500,1,4,70.0,201.16562620797777
500,1,5,80.0,201.16562620797777
500,2,2,76.66666666666667,201.16562620797777
500,2,3,73.33333333333333,201.16562620797777
500,2,4,73.33333333333333,201.16562620797777
500,2,5,73.33333333333333,201.16562620797777
