m,N,estable_pct,metodo
1,2,86.66666666666667,unrolling
1,3,76.66666666666667,unrolling
1,4,86.66666666666667,unrolling
1,5,86.66666666666667,unrolling
2,2,100.0,unrolling
2,3,90.0,unrolling
2,4,86.66666666666667,unrolling
2,5,83.33333333333333,unrolling
1,2,63.333333333333336,implicita
1,3,63.333333333333336,implicita
1,4,60.0,implicita
1,5,63.333333333333336,implicita
2,2,70.0,implicita
2,3,53.333333333333336,implicita
2,4,53.333333333333336,implicita
2,5,56.666666666666664,implicita
