order,m,N,worst,stabilized,absc_ol,normA,normB,condA,dispA
3,1,2,-0.032593214293850495,True,0.11504762540643049,1.2663736567614792,0.09119660019946274,11.615221964003641,0.4409846841807346
3,1,2,-0.017264603253647173,True,0.06227766990629526,1.2587392008495624,0.05387013399514712,112.75192640500416,0.5721421186853937
3,1,2,-0.0032651395818833035,True,0.25319889325869427,1.0249682913211724,0.053624548394144836,50.371730716984594,0.3864706081181817
3,1,2,-0.11909450075527149,True,0.4053019884447855,1.5234851347529998,0.17298021211502854,12.835656305978025,0.8066261904434796
3,1,2,-0.14696986449534158,True,0.8775803213744655,1.405478541245743,0.13217128067022618,19.490396276577,0.945663340932997
3,1,2,-0.015062206616255642,True,0.3437500945744195,1.0899861228849348,0.11799410467192352,25.489691148531005,0.5385710649855985
3,1,2,-0.09153589768853976,True,0.5333599013587587,1.5986777351225099,0.1912104747593135,109.76063020800822,0.9481476807874205
3,1,2,-0.01348498026987277,True,0.35932007154081563,1.1212724420791433,0.07625081233818233,14.049639460307823,0.6416688764798739
3,1,2,0.011877502237023925,False,0.04119389260574202,1.161265718497285,0.13765997079838013,354.082260060222,0.5537780376231997
3,1,2,-0.03313648068008267,True,0.49290776154483107,1.0407436146817857,0.10003823316550853,9.408739842802502,0.9720209063290982
3,1,2,0.00406647751929995,False,0.0023029729357037306,1.281915497499401,0.07456399138806234,452.89540695354947,0.5062821015673552
3,1,2,-0.04014195667512582,True,0.2118351845363169,1.0966002655107603,0.027638177213597213,219.41937966965995,1.0309977837798172
3,1,2,-0.3654785602760445,True,0.2018882229991451,1.164578452496603,0.0962948326028899,6.5398253093559875,0.4698588299548129
3,1,2,-0.04565963485811367,True,0.13474412618842374,1.299442247647973,0.14922669415269593,168.56568925847714,0.7764912488149607
3,1,2,0.02402345000558744,False,0.15732300530463472,1.2849104379558467,0.12207074073061984,116.11682746167538,0.9511867551710025
3,1,2,-0.30638842603984795,True,0.32687377008471113,1.183562210647471,0.2513787877801039,16.925945380043135,0.7624072793765623
3,1,2,-0.04365673377823187,True,0.012151464096410007,1.3380046264797296,0.1254567299980539,184.50516023642749,0.631804797095397
3,1,2,-0.07316247345874127,True,0.3751935792534535,1.554053424081513,0.13877135509696592,12.009174807305529,0.8930661697865301
3,1,2,-0.39670034114361435,True,0.04230480243701845,1.3128069353633591,0.14776475267534828,35.02353160528686,0.6589854015818724
3,1,2,0.002446764867458676,False,0.040691948318538576,1.5076413089844365,0.11261390413282742,39.16097026925372,0.4073747978322973
3,1,2,0.061996012243365685,False,0.5007584989799286,1.1175097629879287,0.06415137041821127,185.80213334800237,0.9986736692374203
3,1,2,-0.12593175249202454,True,0.13805368886508979,1.1647044829686481,0.11577805703950224,6.568783739535997,0.5551406788404037
3,1,2,0.017973818029858528,False,0.2073181149818012,1.7862710728937428,0.12151870314468328,22.311559156319312,1.0837442677674
3,1,2,-0.10750793169173102,True,0.547016149110312,1.0528263595523195,0.09331635049438482,61.13511289578287,0.8182026878092478
3,1,2,0.07742713005190743,False,0.013085423687605367,1.1886967603502445,0.13390835980532528,290.846671837916,0.688091272000947
3,1,2,-0.08019691812603616,True,0.12469769846973794,1.254483045330335,0.041190562809417054,35.31571517197937,0.5794558376802513
3,1,2,-0.06984172258698558,True,0.10514451574489751,1.3133672474836176,0.13224780325357663,14.03056743134748,0.7822867921290942
3,1,2,-0.15430916152444552,True,-0.03236230995510584,1.6461212381587573,0.1701386406917435,32.371861558380004,1.0748785139899015
3,1,2,-0.12517356064283275,True,0.47506770730196796,1.0189512560117462,0.10897651936606995,13.26143654004104,0.5936905054358993
3,1,2,-0.011545728795979676,True,0.603074240034051,1.5818172249874252,0.13906335429432812,9.942296279284774,1.057972194434126
3,1,2,-0.07798054924953972,True,0.1879845701739643,1.2306705702046774,0.12287691359867596,6.104122941202817,0.6976173848225617
3,1,2,0.02313729188389064,False,0.7702692255566426,1.4777485554765641,0.1021806260201314,308.723939257135,1.064557655144794
3,1,2,-0.0359229701600229,True,1.2784548877394275,1.4441408728704694,0.026436071566102365,588.4543132214784,0.7876338091795426
3,1,2,-0.5433336956088088,True,0.547285710532821,1.2861399204936415,0.12775242537825807,7.824386606661992,0.6745536014157582
3,1,2,-0.35322240508275765,True,0.027316711301135443,1.0382642082298164,0.12272690597601645,44.06949112018176,0.3502176931806283
